"ADDRESS_ZIP_CODE","AGG_NUM_VEHICLES","AVG_HOUSEHOLD_SIZE","MED_GROSS_RENT","MED_HOUSING_COST","MED_INCOME","MED_YEAR_BUILT","MONTHLY_OWNER_COSTS","NO_INTERNET","TOTAL_POP"
"12878",205,2.66,763,650,66591,1971,263,28,749
"12883",1745,2.23,786,905,59591,1955,1387,330,4784
"12884",260,2.56,871,847,40703,0,163,78,669
"12885",1715,2.24,890,898,57579,1967,1399,329,4423
"12886",NA,2.03,NA,1295,110417,1988,77,0,176
"12887",1595,2.66,865,867,57279,1953,1257,352,4733
"12901",12955,2.12,865,889,55588,1970,7672,1414,32866
"12903",575,1.96,1279,1239,75060,1982,408,62,1707
"12910",505,2.52,855,689,47396,1981,464,90,2062
"12911",NA,NA,NA,NA,NA,NA,0,0,0
"12912",645,2.29,944,924,66667,1967,580,94,1538
"12913",455,2.46,785,1023,66012,1977,398,81,1192
"12914",300,2.8,671,634,51458,1946,242,81,979
"12915",NA,2.08,NA,NA,34375,0,27,22,79
"12916",805,2.6,732,702,58125,1974,583,175,2376
"12917",420,2.81,727,665,62684,1971,359,134,1322
"12918",1150,2.42,877,1131,79455,1983,1041,77,2828
"12919",1045,2.48,874,860,58641,1970,829,66,2971
"12920",885,2.28,859,751,59688,1965,819,190,2242
"12921",1035,2.78,863,839,74574,1975,745,111,2592
"12922",NA,1.84,NA,842,NA,1971,22,3,46
"12923",150,2.14,381,603,56364,1968,183,54,466
"12924",NA,3.59,NA,1288,NA,1984,7,4,61
"12926",900,2.38,763,769,52875,1975,769,246,2371
"12927",55,1.84,NA,858,53125,1967,149,9,294
"12928",805,2.35,889,805,68669,1974,674,89,2019
"12929",250,2.33,824,880,48571,1941,233,45,4078
"12930",285,2.85,1031,722,59050,1971,245,42,851
"12932",405,1.94,792,727,56000,1954,454,139,1126
"12933",NA,2,NA,NA,NA,NA,20,9,40
"12934",330,2.36,690,593,63468,1973,284,87,992
"12935",585,2.13,636,720,58320,1976,559,170,1488
"12936",190,2.14,1313,794,66010,1943,232,33,581
"12937",560,2.56,821,768,44688,1965,474,110,1569
"12939",80,2.27,NA,775,NA,1951,55,0,175
"12941",675,2.36,1083,951,71500,1978,568,57,1516
"12942",240,1.9,NA,1563,68333,1977,300,9,605
"12943",115,2.28,NA,969,44750,0,100,33,339
"12944",1720,2.41,1007,982,63242,1959,1263,244,4106
"12945",200,2.77,NA,1250,78810,1943,130,8,388
"12946",1520,2.21,897,1003,71061,1979,1298,62,4633
"12950",325,2.21,1065,736,70063,1979,236,42,670
"12952",120,3.14,NA,769,86786,1951,86,13,283
"12953",3840,2.28,752,762,55906,1963,3179,538,14643
"12955",130,2.02,782,774,57188,1952,130,42,297
"12956",265,1.86,NA,752,34181,1988,432,186,1210
"12957",520,2.35,663,657,45324,1973,337,112,1500
"12958",755,2.44,NA,859,63664,1992,713,222,1919
"12959",605,1.95,825,851,46502,1991,657,176,1507
"12960",230,1.91,NA,1112,50813,1963,428,61,943
"12961",NA,1.21,NA,NA,NA,2004,105,20,127
"12962",1640,2.4,959,1065,59492,1981,1578,178,4713
"12964",NA,2.26,NA,841,87188,1947,19,0,60
"12965",135,2.28,NA,753,45625,0,160,17,408
"12966",1025,2.57,741,725,65417,1973,910,163,2825
"12967",500,2.55,796,675,60515,1975,398,99,1251
"12969",70,2.03,NA,574,46563,1950,129,19,288
"12970",125,2.23,1425,1000,78750,0,93,4,922
"12972",2745,2.38,1048,1107,94899,1978,2425,186,6912
"12973",NA,2.03,NA,244,47813,1961,37,4,75
"12974",805,2.32,633,642,53259,0,739,119,2269
"12975",95,1.63,931,919,57455,1970,107,0,256
"12976",85,1.7,NA,839,61719,1974,87,13,185
"12977",NA,NA,NA,NA,NA,NA,0,0,1741
"12978",150,3.2,NA,899,86219,0,79,20,253
"12979",810,2.03,613,756,42267,1959,602,169,2324
"12980",305,2.23,683,646,56411,1965,404,146,1055
"12981",1005,2.57,823,840,74583,1974,804,132,2324
"12983",2740,2.06,767,928,59573,1944,2068,388,7135
"12985",330,2.3,1060,947,70247,1989,329,36,939
"12986",1900,2.12,639,773,57578,1955,1682,295,5325
"12987",125,2.11,NA,739,97857,0,97,0,224
"12989",360,2.24,1125,669,79896,1971,369,73,879
"12992",1540,2.29,853,817,69981,1978,1301,203,3800
"12993",540,2.19,830,861,54886,1957,477,114,1499
"12996",970,2.36,758,748,70163,1966,711,103,2042
"12997",585,2.15,1034,1024,70703,1968,459,18,1184
"12998",NA,1.64,NA,NA,42644,0,69,23,113
"13020",40,2.56,NA,783,66458,0,32,5,82
"13021",14360,2.22,789,881,52836,1950,10037,2055,37756
"13024",NA,NA,NA,NA,NA,NA,0,0,1806
"13026",570,2.4,1253,933,84077,0,417,54,1772
"13027",14770,2.43,1054,1159,81806,1981,10437,1216,35417
"13028",330,2.44,NA,1153,91833,1966,286,32,743
"13029",3100,2.65,845,1132,82056,1983,2278,189,7853
"13030",1385,2.49,767,991,66696,1964,1316,115,3705
"13031",7095,2.38,1055,1171,82289,1967,5175,461,16151
"13032",5040,2.68,857,918,64358,1963,3781,528,12960
"13033",1500,2.83,853,977,68565,1971,1136,107,3794
"13034",860,2.6,646,969,79028,1967,627,89,1924
"13035",2910,2.46,1020,1217,87546,1966,2519,280,8450
"13036",4460,2.52,849,1055,74762,1979,3022,335,9697
"13037",3750,2.72,710,1085,74785,1974,2800,228,9702
"13039",7785,2.58,1061,1302,96111,1984,5532,292,17233
"13040",1090,2.44,719,820,57688,1974,858,217,2670
"13041",5160,2.63,1217,1318,96793,1980,4088,87,11916
"13042",810,2.29,1250,865,65179,1964,699,124,1817
"13044",1310,2.51,850,769,64441,1974,1071,97,3041
"13045",10560,2.29,808,882,59385,1954,6356,1207,28158
"13051",NA,NA,NA,NA,NA,NA,30,0,30
"13052",785,2.84,682,815,66181,1969,581,109,1960
"13053",1625,2.43,921,1090,72188,1975,1310,148,5033
"13054",525,2.77,757,1045,87625,1958,337,42,1105
"13057",6320,2.23,875,939,66404,1961,4488,843,14300
"13060",910,2.32,813,880,50417,1974,996,195,2723
"13061",320,2.55,NA,1065,76818,1963,282,25,785
"13062",NA,1.75,NA,NA,NA,1951,107,0,187
"13063",990,2.22,769,1099,81607,1976,734,138,1802
"13065",NA,2.53,NA,1144,102446,1992,119,0,301
"13066",5315,2.37,1112,1348,108293,1969,4248,180,12757
"13068",1760,2.25,937,1063,71335,1976,1360,157,4699
"13069",9560,2.43,812,864,54754,1963,6640,819,24243
"13071",305,2.57,1025,745,66250,1975,261,81,811
"13072",370,2.63,736,709,58295,1967,272,57,861
"13073",2760,2.42,985,1056,63692,1971,2076,389,6612
"13074",1700,2.52,822,927,66786,1979,1364,166,4302
"13076",985,2.67,NA,1231,82021,1986,796,36,2269
"13077",3080,2.25,932,957,66002,1958,2354,241,6642
"13078",3930,2.69,1133,1390,99628,1978,3198,216,11008
"13080",1500,2.5,731,935,65559,1970,1162,75,3507
"13081",590,2.43,1163,1306,93295,1957,464,45,1271
"13082",1900,2.54,486,1005,79045,1971,1430,72,3895
"13083",875,2.43,740,888,72607,1975,605,129,2016
"13084",1500,2.46,976,943,89375,1975,1237,138,3580
"13087",80,2.41,NA,1567,115417,1962,66,0,166
"13088",9480,2.12,988,995,64647,1968,6093,858,22132
"13090",13210,2.46,1102,1190,77273,1979,8276,662,29237
"13092",890,2.71,1105,967,59620,1975,839,271,2535
"13101",865,2.69,754,861,58878,1955,619,154,2496
"13102",NA,1.74,NA,NA,NA,NA,35,11,61
"13103",NA,1.66,1388,NA,24712,1985,57,35,136
"13104",7010,2.64,944,1468,108705,1976,5244,441,17022
"13108",2465,2.32,864,1064,81663,1959,2025,197,6213
"13110",1085,2.64,734,1348,96250,1965,833,72,2351
"13111",570,3.18,921,942,60845,1968,460,13,1771
"13112",775,2.84,921,1056,93500,1964,495,35,1622
"13113",20,2.14,NA,1063,53750,0,14,3,30
"13114",3010,2.46,747,906,66765,1979,2257,154,7246
"13115",100,2.27,980,924,65000,0,57,0,232
"13116",1490,2.52,981,1017,72500,1965,1068,188,3653
"13117",110,2.46,608,613,37841,1947,78,46,307
"13118",2010,2.36,765,839,62708,1975,1674,280,5956
"13119",NA,NA,NA,NA,NA,NA,0,0,0
"13120",755,2.71,773,861,70966,1945,657,57,1935
"13121",NA,NA,NA,NA,NA,NA,0,0,0
"13122",395,2.32,913,1313,53617,1985,420,32,1202
"13123",NA,NA,NA,NA,NA,NA,0,0,0
"13124",60,2.32,NA,875,69000,1962,60,4,144
"13126",11930,2.32,891,940,58378,1961,8965,1317,35339
"13131",1110,2.35,585,904,54779,1981,1082,157,3058
"13132",1545,2.13,725,994,64656,1983,1517,222,3427
"13134",90,5.22,NA,863,76750,0,27,4,141
"13135",2315,2.56,839,930,71000,1968,1590,189,6012
"13136",80,2.65,569,557,38333,1972,108,28,355
"13138",NA,2.56,NA,NA,NA,NA,52,30,133
"13140",1735,2.54,822,798,54954,1968,1287,316,4217
"13141",325,2.37,877,796,79000,1955,269,31,686
"13142",2255,2.54,784,839,77803,1969,1941,252,6280
"13143",1015,2.81,813,798,63343,1960,797,153,2593
"13144",430,2.8,673,756,47813,1964,424,60,1446
"13145",390,2.05,704,765,44167,1971,523,28,1426
"13146",815,3.11,744,807,58194,1959,602,172,2425
"13147",355,2.42,1000,807,60833,1953,280,39,922
"13148",4385,2.15,803,840,54294,1952,3241,529,10581
"13152",2520,2.3,1081,1454,90781,1960,2820,340,7856
"13153",135,2.87,NA,537,NA,1945,89,31,344
"13154",NA,3.2,NA,NA,NA,NA,10,0,32
"13155",215,2.28,742,697,57941,1953,201,38,566
"13156",740,2.21,644,911,57857,1963,791,94,1963
"13157",95,1.71,1022,727,35906,1962,188,16,439
"13158",530,2.67,693,807,76154,1974,366,91,1349
"13159",2315,2.52,956,1192,84618,1976,1807,270,5419
"13160",835,2.8,908,967,79125,1963,624,80,2382
"13162",NA,1.83,NA,782,74417,0,124,73,376
"13163",90,2.58,NA,1031,72500,1968,106,10,370
"13164",990,2.84,NA,1427,95924,1978,820,55,2418
"13165",3825,2.22,853,870,58870,1958,3073,541,9783
"13166",2585,2.32,948,1001,69283,1973,1815,423,5482
"13167",1340,2.37,1260,996,70104,1988,1030,111,2985
"13202",1145,1.98,694,695,22465,1957,224,768,7391
"13203",4770,2.08,825,857,40118,1944,2482,1503,17111
"13204",5865,2.37,896,861,38050,0,2440,1556,20094
"13205",4320,2.36,803,809,33874,1952,3403,1602,17747
"13206",6705,2.17,836,856,51360,1949,3988,842,17132
"13207",4200,2.43,934,896,51902,1943,3320,704,12888
"13208",7035,2.6,861,864,40868,0,4058,1437,23177
"13209",5100,2.2,883,909,54833,1957,4177,696,13016
"13210",4485,2.21,943,962,34277,1954,1865,762,19606
"13211",2620,2.61,1018,1005,63258,1953,1746,348,6274
"13212",8915,2.34,944,989,67719,1959,6871,894,20829
"13214",2945,2.45,856,941,73929,1958,2155,443,8782
"13215",6270,2.48,1018,1337,94331,1976,4451,448,14497
"13219",6790,2.48,981,1067,74679,1958,5189,682,15725
"13224",2865,2.37,919,1005,68203,1954,2309,326,8672
"13244",235,2.21,NA,NA,NA,1981,0,0,8165
"13290",NA,NA,NA,NA,NA,NA,0,0,0
"13301",NA,2.87,NA,NA,108162,1982,63,8,181
"13302",480,2.54,947,939,50536,1975,476,90,1416
"13303",545,2.5,672,739,75469,1964,501,30,1407
"13304",745,2.39,1105,1025,86667,1958,572,74,1806
"13305",80,2.22,NA,713,43523,0,46,23,184
"13308",1750,2.89,1017,816,75018,1973,1393,68,4738
"13309",2290,2.19,655,673,63306,1976,1867,375,5655
"13310",505,2.6,NA,1030,62857,1958,213,0,698
"13312",85,2.03,NA,933,75231,1970,139,11,318
"13313",230,2.67,638,637,40833,1951,137,8,566
"13314",40,3,NA,950,NA,0,24,4,72
"13315",450,2.69,819,886,66413,1971,434,94,1415
"13316",2055,2.2,722,708,56582,1959,2313,624,6075
"13317",1470,2.87,792,848,56271,0,1041,230,4025
"13318",550,2.59,696,773,76295,1974,405,37,1108
"13319",420,2.01,776,787,53456,0,199,0,652
"13320",790,2.77,784,900,66750,1947,633,122,2065
"13321",255,2,942,890,50798,1970,243,44,712
"13322",505,2.53,897,931,80609,1942,372,40,1151
"13323",4290,2.15,963,1024,76032,1964,3062,377,11638
"13324",685,2.52,684,661,66974,1976,735,122,2104
"13325",400,2.55,719,750,65000,1972,385,63,1078
"13326",1475,2.25,1112,1051,73889,1943,1538,187,5048
"13327",785,2.7,596,682,60750,1976,620,139,2106
"13328",660,2.52,NA,992,81898,1950,564,46,1592
"13329",1350,2.46,709,698,48945,1946,1106,276,3930
"13331",NA,1.83,NA,1333,61607,1955,40,0,73
"13332",960,3.08,905,908,57232,1952,748,84,2681
"13333",30,1.71,NA,825,53636,0,20,5,72
"13334",400,2.4,690,1037,57778,1943,258,64,945
"13335",425,2.56,NA,687,50694,1954,386,81,1258
"13337",335,1.92,1075,894,97670,0,235,0,643
"13338",500,2.06,1021,667,45455,1968,583,152,1305
